Smart Suggestions engine — golden master
Generated by SuggestionEngineGoldenMasterTests. Do not hand-edit.
See SUGGESTION_ENGINE_IMPLEMENTATION_PLAN.md §1 (PF1).

## A1 straight 4x8 @ RIR 2, defaults
  set 1 | w  75.0000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## B2 fixed target 8 @ RIR 2, no history
  set 1 | w  57.5000 | eff   76.0000 | cap   76.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  55.0000 | eff   73.3780 | cap   76.0000 | fat 0.0345 | disc 0.9655 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  53.7500 | eff   72.2385 | cap   76.0000 | fat 0.0495 | disc 0.9505 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## C1 one completed 75x8 @ RIR 0 — what set 2 prices
  set 2 | w  67.5000 | eff   90.8675 | cap   95.0000 | fat 0.0435 | disc 0.9565 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  67.5000 | eff   89.9265 | cap   95.0000 | fat 0.0534 | disc 0.9466 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## C1 one completed 75x8 @ RIR 1 — what set 2 prices
  set 2 | w  70.0000 | eff   93.6975 | cap   97.5000 | fat 0.0390 | disc 0.9610 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  70.0000 | eff   92.4837 | cap   97.5000 | fat 0.0514 | disc 0.9486 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## C1 one completed 75x8 @ RIR 2 — what set 2 prices
  set 2 | w  72.5000 | eff   96.5500 | cap  100.0000 | fat 0.0345 | disc 0.9655 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  72.5000 | eff   95.0506 | cap  100.0000 | fat 0.0495 | disc 0.9505 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## C1 one completed 75x8 @ RIR 3 — what set 2 prices
  set 2 | w  72.5000 | eff   97.0000 | cap  100.0000 | fat 0.0300 | disc 0.9700 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  72.5000 | eff   95.2462 | cap  100.0000 | fat 0.0475 | disc 0.9525 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## C1 one completed 75x8 @ RIR 4 — what set 2 prices
  set 2 | w  72.5000 | eff   97.0000 | cap  100.0000 | fat 0.0300 | disc 0.9700 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  72.5000 | eff   95.2462 | cap  100.0000 | fat 0.0475 | disc 0.9525 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## C1 one completed 75x8 @ RIR 5 — what set 2 prices
  set 2 | w  72.5000 | eff   97.0000 | cap  100.0000 | fat 0.0300 | disc 0.9700 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  72.5000 | eff   95.2462 | cap  100.0000 | fat 0.0475 | disc 0.9525 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## C2 the 32.5 kg leg-extension case (20x8 then 35x8, both RIR 5)
  set 3 | w  32.5000 | eff   42.4221 | cap   44.3300 | fat 0.0430 | disc 0.9570 | if 0.7895 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  32.5000 | eff   41.5725 | cap   44.3300 | fat 0.0622 | disc 0.9378 | if 0.7895 | reps - | policy closest match to effective e1RM | fresh n
## C3 drop set craters capability (100x8 @ RIR 2, then 60x10 @ RIR 0)
  set 3 | w  55.0000 | eff   73.8173 | cap   81.2177 | fat 0.0911 | disc 0.9089 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  57.5000 | eff   75.1995 | cap   81.2177 | fat 0.0741 | disc 0.9259 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## C4 untagged light set craters capability (same numbers, type working)
  set 3 | w  57.5000 | eff   75.5838 | cap   81.2177 | fat 0.0694 | disc 0.9306 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  57.5000 | eff   75.9672 | cap   81.2177 | fat 0.0646 | disc 0.9354 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## C5 overperformance raises later sets (85x8 @ RIR 1 vs 75 suggested)
  set 2 | w  80.0000 | eff  106.1905 | cap  110.5000 | fat 0.0390 | disc 0.9610 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  77.5000 | eff  104.8148 | cap  110.5000 | fat 0.0514 | disc 0.9486 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  77.5000 | eff  104.2170 | cap  110.5000 | fat 0.0569 | disc 0.9431 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## C6 underperformance lowers later sets (65x6 @ RIR 0)
  set 2 | w  57.5000 | eff   75.4552 | cap   78.0000 | fat 0.0326 | disc 0.9674 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  55.0000 | eff   74.2031 | cap   78.0000 | fat 0.0487 | disc 0.9513 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  55.0000 | eff   73.6589 | cap   78.0000 | fat 0.0557 | disc 0.9443 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## C7 warm-ups are free
  set 1 | w  75.0000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  72.5000 | eff   96.5500 | cap  100.0000 | fat 0.0345 | disc 0.9655 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  72.5000 | eff   95.0506 | cap  100.0000 | fat 0.0495 | disc 0.9505 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## D1 four completed sets, no RIR recorded
  set 5 | w  70.0000 | eff   93.3483 | cap  100.0000 | fat 0.0665 | disc 0.9335 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 6 | w  70.0000 | eff   93.6592 | cap  100.0000 | fat 0.0634 | disc 0.9366 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## D2 same four sets at RIR 2
  set 5 | w  72.5000 | eff   96.4639 | cap  102.4949 | fat 0.0588 | disc 0.9412 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 6 | w  72.5000 | eff   96.3378 | cap  102.4949 | fat 0.0601 | disc 0.9399 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## E1 one 75x8 @ RIR 1 logged as backoff
  set 2 | w  70.0000 | eff   94.8383 | cap   97.5000 | fat 0.0273 | disc 0.9727 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  70.0000 | eff   92.9795 | cap   97.5000 | fat 0.0464 | disc 0.9536 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## E1 one 75x8 @ RIR 1 logged as working
  set 2 | w  70.0000 | eff   93.6975 | cap   97.5000 | fat 0.0390 | disc 0.9610 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  70.0000 | eff   92.4837 | cap   97.5000 | fat 0.0514 | disc 0.9486 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## E1 one 75x8 @ RIR 1 logged as dropset
  set 2 | w  70.0000 | eff   92.1765 | cap   97.5000 | fat 0.0546 | disc 0.9454 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  70.0000 | eff   91.8227 | cap   97.5000 | fat 0.0582 | disc 0.9418 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## E1 one 75x8 @ RIR 1 logged as amrap
  set 2 | w  70.0000 | eff   91.7963 | cap   97.5000 | fat 0.0585 | disc 0.9415 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  67.5000 | eff   91.6574 | cap   97.5000 | fat 0.0599 | disc 0.9401 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## E1 one 75x8 @ RIR 1 logged as failure
  set 2 | w  70.0000 | eff   91.7963 | cap   97.5000 | fat 0.0585 | disc 0.9415 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  67.5000 | eff   91.6574 | cap   97.5000 | fat 0.0599 | disc 0.9401 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## E1 one 75x8 @ RIR 1 logged as partial
  set 2 | w  72.5000 | eff   98.0500 | cap  100.0000 | fat 0.0195 | disc 0.9805 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  72.5000 | eff   95.7025 | cap  100.0000 | fat 0.0430 | disc 0.9570 | if 0.7500 | reps - | policy closest match to effective e1RM | fresh n
## F1 rep range 5-8 across four sets
  set 1 | w  77.5000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.7692 | reps 7 | policy biased above recent top workout | fresh n
  set 2 | w  72.5000 | eff   96.5500 | cap  100.0000 | fat 0.0345 | disc 0.9655 | if 0.7500 | reps 8 | policy closest match to effective e1RM | fresh n
  set 3 | w  75.0000 | eff   95.0506 | cap  100.0000 | fat 0.0495 | disc 0.9505 | if 0.7895 | reps 6 | policy closest match to effective e1RM | fresh n
  set 4 | w  72.5000 | eff   94.3990 | cap  100.0000 | fat 0.0560 | disc 0.9440 | if 0.7692 | reps 7 | policy closest match to effective e1RM | fresh n
## F2 first-set range progression (the 58.75 / 9 reps case)
  set 1 | w  58.7500 | eff   76.0000 | cap   76.0000 | fat 0.0000 | disc 1.0000 | if 0.7692 | reps 9 | policy biased above recent top workout | fresh n
## F3 beginner, 1 kg increment
  set 1 | w  30.0000 | eff   42.5000 | cap   42.5000 | fat 0.0000 | disc 1.0000 | if 0.7143 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  29.0000 | eff   40.6672 | cap   42.5000 | fat 0.0431 | disc 0.9569 | if 0.7143 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  28.0000 | eff   39.8707 | cap   42.5000 | fat 0.0619 | disc 0.9381 | if 0.7143 | reps - | policy closest match to effective e1RM | fresh n
## F4 beginner, 2.5 kg increment
  set 1 | w  30.0000 | eff   42.5000 | cap   42.5000 | fat 0.0000 | disc 1.0000 | if 0.7143 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  30.0000 | eff   40.6672 | cap   42.5000 | fat 0.0431 | disc 0.9569 | if 0.7143 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  27.5000 | eff   39.8707 | cap   42.5000 | fat 0.0619 | disc 0.9381 | if 0.7143 | reps - | policy closest match to effective e1RM | fresh n
## F5 beginner, 5 kg increment
  set 1 | w  30.0000 | eff   42.5000 | cap   42.5000 | fat 0.0000 | disc 1.0000 | if 0.7143 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  30.0000 | eff   40.6672 | cap   42.5000 | fat 0.0431 | disc 0.9569 | if 0.7143 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  30.0000 | eff   39.8707 | cap   42.5000 | fat 0.0619 | disc 0.9381 | if 0.7143 | reps - | policy closest match to effective e1RM | fresh n
## F6 high rep 4x20
  set 1 | w  57.5000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.5769 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  55.0000 | eff   94.8250 | cap  100.0000 | fat 0.0517 | disc 0.9483 | if 0.5769 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  52.5000 | eff   92.5760 | cap  100.0000 | fat 0.0742 | disc 0.9258 | if 0.5769 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  52.5000 | eff   91.5985 | cap  100.0000 | fat 0.0840 | disc 0.9160 | if 0.5769 | reps - | policy closest match to effective e1RM | fresh n
## F7 low rep 4x3
  set 1 | w  85.0000 | eff  100.0000 | cap  100.0000 | fat 0.0000 | disc 1.0000 | if 0.8571 | reps - | policy closest match to effective e1RM | fresh n
  set 2 | w  85.0000 | eff   97.9300 | cap  100.0000 | fat 0.0207 | disc 0.9793 | if 0.8571 | reps - | policy closest match to effective e1RM | fresh n
  set 3 | w  82.5000 | eff   97.0304 | cap  100.0000 | fat 0.0297 | disc 0.9703 | if 0.8571 | reps - | policy closest match to effective e1RM | fresh n
  set 4 | w  82.5000 | eff   96.6394 | cap  100.0000 | fat 0.0336 | disc 0.9664 | if 0.8571 | reps - | policy closest match to effective e1RM | fresh n
